Authors,Year,First author and year,Title,DOI,Number of MS patients,"Thereof female, n",Age,average_age,Type of MS,Severity,Duration of disease in years,Treatments,Comorbidities,Comparator populuation Type (healthy or other),"Comparator population, number (number of females)",Wearable,Context,Duration wearable was worn,clinicaltrials.gov identifier (NCT),Does the study report a clearly defined research objective (including an outcome)?,Does the study adequately describe the inclusion/exclusion criteria?,"Does the study report on the population parameters/demographics (at least age, sex)?","Does the study report details on assessment of MS (severity [EDSS or PDSS], type)?","Does the study provide sufficient details on the wearables used (type, positioning of wearable, context, recording frequency)?",Does the study report proper statistical analysis? Correction for multiple comparisons?,"Does the study adequately report the strength of the results (e.g., reporting confidence intervals / standard deviations)?",Does the study make the data and/or code publicly available?,Do the authors report on the limitations of their study?,Domain1,Domain2,Domain3,Domain4,Association with MS severity,Association with MS severity - Effect,Association with other measure,Association with other measure - Effect,Group differences MS vs HC,Group differences MS vs HC - Effect,Group differences MS vs MS,Group differences MS vs MS - Effect,Group differences MS vs other diseases,Group differences MS vs other diseases - Effect,Test-retest reliability,Test-retest reliability - Effect,Responsiveness to change,Responsiveness to change - Effect,Responsiveness to intervention,Responsiveness to intervention - Effect,Subjective participant acceptability,Subjective participant acceptability - Effect,Comment
"Vienne-Jumeau A., Oudre L., Moreau A., Quijoux F., Edmond S., Dandrieux M., Legendre E., Vidal P.P., Ricard D.",2020,"Vienne-Jumeau et al, 2020",Personalized Template-Based Step Detection From Inertial Measurement Units Signals in Multiple Sclerosis,10.3389/FNEUR.2020.00261,22,13,"walking aid:
yes: 57 (9),
no: 59 (13)",58.2,P: n=22,"EDSS: 
walking aid: 6.0 [6.0-6.5],
no aid: 3.5 [3.0-6.0]",not reported,not reported,not reported,healthy,"healthy 
n=10 (60% female)
age: 26 (1)","Xsens IMU
Type of sensor: accelerometer, gyroscope, magnetometer
Number of axes: 3
Number of wearables: 2
Position: foot",laboratory,6 months,,yes,yes,yes,yes,yes,yes,yes,no,yes,Lab: Gait,,,,yes,significant,yes,non-significant,no,,yes,some significant,no,,no,,yes,significant,no,,no,,
"Hibner B.A., Hilgenkamp T.I.M., Schroeder E.C., Motl R.W., Bollaert R.E., Griffith G., Grigoriadis G., Baynard T., Fernhall B.",2020,"Hibner et al, 2020",Physical activity and peak oxygen consumption are associated with walking in multiple sclerosis,10.1016/J.MSARD.2020.101941,50,38,46 (12),46,RR: n=50,EDSS: 3.3 [2.5-4],not reported,not reported,not reported,none,none,"ActiGraph 7164
Type of sensor: accelerometer
Number of axes: 1
Number of wearables: 1
Position: waist",real-world,7 days,,yes,yes,yes,yes,applies partially,yes,applies partially,no,yes,RW: Physical activity,,,,no,,yes,significant,no,,no,,no,,no,,no,,no,,no,,
"Stuart C.M., Varatharaj A., Domjan J., Philip S., Galea I., Adams E., Ali R., Cader S., Chartres S., Cornick F., Darekar A., Fenn M., Furby J., Guillochon R., Halfpenny C., Hillier C., Hyde R., Jacob C., Jarman E., Nabag M., O’Neill A., Perry V.H., Sayce C., Spanoulis A., Temple-Brown C., Zotova E.",2020,"Stuart et al, 2020",Physical activity monitoring to assess disability progression in multiple sclerosis,10.1177/2055217320975185,56,30,53.6 (8.0),53.6,"PP: n=32,
SP: n=24",EDSS: 5.7 (1.3),12.2 (8.6),untreated,not reported,none,none,"SenseWear Armband
Type of sensor: accelerometer, others (thermometer, skin impedance)
Number of axes: 3
Number of wearables: 1
Position: upper arm",real-world,4 weeks,,yes,yes,yes,yes,yes,yes,applies partially,no,yes,RW: Physical activity,,,,yes,significant,yes,some significant,no,,no,,no,,no,,yes,significant,no,,no,,
K. Daunoraviciene,2020,"Daunoraviciene et al, 2020",Quantitative body symmetry assessment during neurological examination,10.3233/THC-208003,28,16,38 (11.9),38,not reported: n=28,EDSS: range: 2.0-6.5,not reported,not reported,not reported,healthy,"healthy 
n=23 (70% female)
age: 29.1 (4.6)","Shimmer IMU
Type of sensor: accelerometer, gyroscope, magnetometer
Number of axes: 3
Number of wearables: 6
Position: upper arm, lower arm, hand, upper leg, lower leg, foot",laboratory,not reported,,yes,yes,yes,applies partially,yes,yes,applies partially,no,no,Lab: Dexterity/Tremor,,,,no,,no,,yes,some significant,yes,some significant,no,,no,,no,,no,,no,,
V.V. Shah,2020,"Shah et al, 2020","Quantity and quality of gait and turning in people with multiple sclerosis, Parkinson’s disease and matched controls during daily living",10.1007/S00415-020-09696-5,13,not reported,48.69 (11.10),48.69,not reported: n=13,PREDSS: range: 3.5=6.0,not reported,not reported,not reported,healthy,"healthy 
n=21 (female not reported)
age: 46.4 (11.1)","APDM Opal IMU
Type of sensor: accelerometer, gyroscope, magnetometer
Number of axes: 3
Number of wearables: 3
Position: lower back, foot",real-world,7 days,,yes,yes,yes,applies partially,yes,yes,applies partially,no,yes,RW: Gait,,,,yes,significant,yes,significant,yes,some significant,no,,no,,no,,no,,no,,no,,
"Sato S., Lim J., Miehm J.D., Buonaccorsi J., Rajala C., Khalighinejad F., Ionete C., Kent J.A., van Emmerik R.E.A.",2020,"Sato et al, 2020",Rapid foot-tapping but not hand-tapping ability is different between relapsing-remitting and progressive multiple sclerosis,10.1016/J.MSARD.2020.102031,29,26,52.03 (9.94),52.03,RR: n=29,EDSS: 3.26 (2.19),12.75 (8.73),not reported,not reported,MS patients,"MS patients (PMS)
n=29 (66% female)
age: 60.38 (8.3)
Type: P: n=29
Severity: EDSS: 6.0 (1.7)
Disease duration: 21.85 (12.35)","APDM Opal IMU
Type of sensor: accelerometer, gyroscope, magnetometer
Number of axes: 3
Number of wearables: 2
Position: hand, foot",laboratory,not reported,,yes,yes,yes,yes,yes,yes,yes,no,yes,Lab: Dexterity/Tremor,,,,no,,no,,yes,some significant,yes,some significant,no,,no,,no,,no,,no,,
"Lam K.H., Meijer K.A., Loonstra F.C., Coerver E., Twose J., Redeman E., Moraal B., Barkhof F., de Groot V., Uitdehaag B., Killestein J.",2020,"Lam et al, 2020",Real-world keystroke dynamics are a potentially valid biomarker for clinical disability in multiple sclerosis,10.1177/1352458520968797,85,64,46.4 (10.1),46.4,"RR: n=51,
PP: n=9,
SP: n=25",EDSS: 3.5 [2.5-4.0],11.3 [ 5.1-17.7],not reported,not reported,healthy,"healthy 
n=18 (56% female)
age: 45.2 (13.5)","Bring-your-own-smartphone
Neurokeys app
Type of sensor: touchscreen
Number of wearables: 1
Position: hand",real-world,2 weeks,,yes,yes,yes,yes,yes,yes,yes,no,yes,RW: Dexterity/Tremor,,,,yes,some significant,yes,some significant,yes,some significant,yes,non-significant,no,,yes,significance not tested,no,,no,,no,,
"Brull A., Zubizarreta A., Cabanes I., Rodriguez-Larrad A.",2020,"Brull et al, 2020",Sensorized Tip for Monitoring People with Multiple Sclerosis that Require Assistive Devices for Walking,10.3390/S20154329,3,not reported,not reported,NA,not reported: n=3,"EDSS: 6.5 (median), range: 4.5-7.5",not reported,not reported,not reported,none,none,"Xsens MTi-1
Type of sensor: accelerometer, gyroscope, magnetometer
Number of axes: 3
Number of wearables: 1
Position: others (tip of cane or crutch)

HBM C9C
Type of sensor: others (force sensor)
Number of wearables: 1
Position: others (tip of cane or crutch)

Bosch BMP280
Type of sensor: others (barometer)
Number of wearables: 1
Position: others (tip of cane or crutch)",laboratory,not reported,,yes,applies partially,no,applies partially,yes,yes,yes,no,yes,Lab: Gait,,,,no,,no,,no,,no,,no,,no,,no,,no,,no,,
"Ader L.G.M., Greene B.R., McManus K., Tubridy N., Caulfield B.",2020,"Ader et al, 2020",Short bouts of gait data and body-worn inertial sensors can provide reliable measures of spatiotemporal gait parameters from bilateral gait data for persons with multiple sclerosis,10.3390/BIOS10090128,37,23,45.1 (9.9),45.1,RR: n=37,"EDSS: 1.0 (median), range: 0-4.5",7.4 (7.7),not reported,not reported,none,none,"Kinesis Gait IMU
Type of sensor: accelerometer, gyroscope
Number of axes: 3
Number of wearables: 2
Position: lower leg",laboratory,not reported,,yes,yes,yes,yes,yes,yes,yes,no,yes,Lab: Gait,,,,no,,no,,no,,no,,no,,yes,significance not tested,no,,no,,no,,
"Zhai Y., Nasseri N., Pöttgen J., Gezhelbash E., Heesen C., Stellmann J.-P.",2020,"Zhai et al, 2020",Smartphone Accelerometry: A Smart and Reliable Measurement of Real-Life Physical Activity in Multiple Sclerosis and Healthy Individuals,10.3389/FNEUR.2020.00688,67,42,42.9 (10.9),42.9,"RR: n=34,
P: n=33","EDSS: 3.0 (median), range: 1.0-6.0",8.5 (8.1),not reported,not reported,healthy,"healthy 
n=70 (67% female)
age: 41.5 (12.8)","Samsung Galaxy S4 (smartphone)
Custom app
Type of sensor: accelerometer, gyroscope, magnetometer
Number of axes: 3
Number of wearables: 1
Position: habitual phone position

ActiGraph GT3X+
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 1
Position: wrist",real-world,7 days,,yes,yes,yes,yes,yes,yes,applies partially,no,yes,RW: Physical activity,,,,yes,some significant,yes,some significant,yes,significant,yes,non-significant,no,,no,,no,,no,,no,,
"Creagh A.P., Simillion C., Scotland A., Lipsmeier F., Bernasconi C., Belachew S., van Beek J., Baker M., Gossens C., Lindemann M., De Vos M.",2020,"Creagh et al, 2020",Smartphone-based remote assessment of upper extremity function for multiple sclerosis using the Draw a Shape Test,10.1088/1361-6579/AB8771,71,49,40 (8),40,"RR: n=64,
PP: n=3,
SP: n=4","EDSS:
normal 9PHT: 2.1 (1.26),
abnormal 9HPT: 3.3 (1.4)",not reported,not reported,not reported,healthy,"healthy 
n=22 (32% female)
age: not reported","Samsung Galaxy S7 (smartphone)
Floodlight app
Type of sensor: touchscreen
Number of wearables: 1
Position: hand",real-world,24 weeks,NCT02952911,yes,yes,yes,yes,applies partially,yes,yes,no,yes,RW: Dexterity/Tremor,,,,no,,yes,some significant,yes,significance not tested,yes,significance not tested,no,,no,,no,,no,,no,,
"Huang S.-C., Dalla Costa G., Pisa M., Gregoris L., Leccabue G., Congiu M., Comi G., Leocani L.",2020,"Huang et al, 2020",The Danger of Walking with Socks: Evidence from Kinematic Analysis in People with Progressive Multiple Sclerosis,10.3390/S20216160,40,20,50.9 (9.8),50.9,P: n=40,EDSS: 5.5 (1.1),not reported,not reported,not reported,healthy,"healthy 
n=15 (60% female)
age: 52.7 (4.4)","BTS Bioengineering G-Walk
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 1
Position: lower back, waist

BTS Bioengineering FREEEMG-1000
Type of sensor: others (sEMG)
Number of wearables: 8
Position: upper leg, lower leg",laboratory,not reported,,yes,yes,yes,yes,yes,yes,applies partially,no,yes,Lab: Gait,,,,yes,some significant,yes,some significant,yes,significant,yes,some significant,no,,no,,no,,no,,no,,
"Shalmoni N., Kalron A.",2020,"Shamlmoni et al, 2020",The immediate effect of stroboscopic visual training on information-processing time in people with multiple sclerosis: an exploratory study,10.1007/S00702-020-02190-2,26,16,47.9 (9.1),47.9,"RR: n=17, 
P: n=9","EDSS: 4.5 (median), range: 3.0-5.5",9.3 (7.6),not reported,not reported,none,none,"APDM Opal IMU
Type of sensor: accelerometer, gyroscope, magnetomter
Number of axes: 3
Number of wearables: 3
Position: lower back, foot",laboratory,not reported,,yes,yes,yes,yes,applies partially,yes,yes,no,yes,Lab: Gait,Lab: Balance,,,no,,no,,no,,no,,no,,no,,no,,yes,non-significant,no,,
"Karle V., Hartung V., Ivanovska K., Mäurer M., Flachenecker P., Pfeifer K., Tallner A.",2020,"Karle et al, 2020",The two-minute walk test in persons with multiple sclerosis: Correlations of cadence with free-living walking do not support ecological validity,10.3390/IJERPH17239044,20,15,44.2 (12.2),44.2,"RR: n=14, 
PP: n=2,
SP: n=4","EDSS: 3.1 (1.4), range: 1-6",9.1 (7.7),not reported,not reported,none,none,"ActiGraph GT3X
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 1
Position: waist",mixed,7 days,NCT04057066,yes,yes,yes,yes,yes,yes,applies partially,no,yes,RW: Physical activity,Lab: Physical activity,,,no,,yes,non-significant,no,,no,,no,,no,,no,,no,,no,,
"Craig J.J., Bruetsch A.P., Lynch S.G., Huisinga J.M.",2020,"Craig et al, 2020",Trunk and foot acceleration variability during walking relates to fall history and clinical disability in persons with multiple sclerosis,10.1016/J.CLINBIOMECH.2020.105100,15,8,48 (9.6),48,not reported: n=15,EDSS: 4.4 (1.1),not reported,not reported,not reported,MS patients,"MS patients (non-fallers)
n=25 (80% female)
age: 44 (9.9)
Severity: EDSS: 3.3 (1.9)","APDM Opal IMU
Type of sensor: accelerometer, gyroscope, magnetometer
Number of axes: 3
Number of wearables: 2
Position: lower back, foot",laboratory,not reported,,yes,yes,yes,applies partially,yes,yes,applies partially,no,yes,Lab: Gait,,,,yes,some significant,yes,some significant,no,,yes,significant,no,,no,,no,,no,,no,,
"Pilloni G., Choi C., Shaw M.T., Coghe G., Krupp L., Moffat M., Cocco E., Pau M., Charvet L.",2020,"Pilloni et al, 2020","Walking in multiple sclerosis improves with tDCS: a randomized, double-blind, sham-controlled study",10.1002/ACN3.51224,9,6,52.1 (12.8),52.1,"RR: n=2,
SP: n=7",EDSS: 5.3 (1.1),not reported,not reported,not reported,MS patients,"MS patients (sham tDCS)
n=6 (83% female)
age: 53.5 (9.8)
Type: RR: n=3, SP: n=3
Severity: EDSS: 4.5 (1.7)
Disease duration: not reported","BTS Bioengineering G-Walk
Type of sensor: accelerometer, gyroscope, magnetometer
Number of axes: 3
Number of wearables: 1
Position: lower back",laboratory,4 weeks,NCT03658668,yes,yes,yes,yes,yes,yes,yes,no,yes,Lab: Gait,,,,no,,no,,no,,yes,some significant,no,,no,,no,,yes,some significant,no,,
"Angelini L., Hodgkinson W., Smith C., Dodd J.M., Sharrack B., Mazzà C., Paling D.",2020,"Angelini et al, 2020",Wearable sensors can reliably quantify gait alterations associated with disability in people with progressive multiple sclerosis in a clinical setting,10.1007/S00415-020-09928-8,57,38,49.8 (8.4),49.8,SP: n=57,"EDSS: 5.5 (median), range: 3.0-6.5",not reported,not reported,not reported,healthy,"healthy 
n=24 (67% female)
age: 49.8 (8.4)","APDM Opal IMU
Type of sensor: accelerometer, gyroscope, magnetometer
Number of axes: 3
Number of wearables: 3
Position: lower back, lower leg",laboratory,not reported,,yes,applies partially,yes,yes,yes,yes,yes,no,yes,Lab: Gait,,,,yes,significant,no,,yes,some significant,no,,no,,yes,significance not tested,no,,no,,no,,
"Meyer B.M., Tulipani L.J., Gurchiek R.D., Allen D.A., Adamowicz L., Larie D., Solomon A.J., Cheney N., McGinnis R.",2020,"Meyer et al, 2020",Wearables and Deep Learning Classify Fall Risk from Gait in Multiple Sclerosis,10.1109/JBHI.2020.3025049,37,26,51 (12),51,not reported: n=37,EDSS: 2.99 (1.47),not reported,not reported,not reported,none,none,"Biostamp MC10
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 2
Position: sternum, upper leg

APDM Opal IMU
Type of sensor: accelerometer, gyroscope, magnetometer
Number of axes: 3
Number of wearables: 4
Position: sternum, lower back, lower leg",laboratory,not reported,,yes,yes,yes,applies partially,yes,applies partially,applies partially,no,applies partially,Lab: Gait,Lab: Balance,,,no,,no,,no,,yes,significant,no,,no,,no,,no,,no,,
"Angelini L., Buckley E., Bonci T., Radford A., Sharrack B., Paling D., Nair K.P.S., Mazza C.",2021,"Angelini et al, 2021",A Multifactorial Model of Multiple Sclerosis Gait and its Changes Across Different Disability Levels,10.1109/TBME.2021.3061998,114,71,"MS severity:
mild: 43.6 (10.5), 
noderate: 43.6 (10.5),
severe: 43.6 (10.5)",51.7,"RR: n=41,
PP: n=3,
SP: n=70","EDSS:
mild: <=3.5,
moderate: range: 4.0-5.5,
severe: >=6.0",not reported,not reported,not reported,healthy,"healthy 
n=24 (67% female)
age: 49.9 (8.3)","APDM Opal IMU
Type of sensor: accelerometer, gyroscope, magnetometer
Number of axes: 3
Number of wearables: 3
Position: lower back, lower leg",laboratory,not reported,,yes,applies partially,yes,yes,yes,yes,yes,no,yes,Lab: Gait,,,,no,,no,,yes,some significant,yes,some significant,no,,no,,no,,no,,no,,
"Abbadessa G., Lavorgna L., Miele G., Mignone A., Signoriello E., Lus G., Clerico M., Sparaco M., Bonavita S.",2021,"Abbadessa et al, 2021",Assessment of multiple sclerosis disability progression using a wearable biosensor: A pilot study,10.3390/JCM10061160,25,12,40.08 (8.87),40.08,RR: n=25,EDSS: 4.45 (1.39),9.3 (6.6),not reported,"no major musculoskeletal, cardiovascular, and/or respiratory comorbidities",none,none,"Samsung Gear S2 (smartwatch)
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 1
Position: wrist",real-world,4 weeks,,yes,yes,yes,yes,applies partially,yes,applies partially,no,yes,RW: Physical activity,,,,yes,some significant,yes,some significant,no,,no,,no,,no,,no,,no,,no,,
"Krysko K.M., Akhbardeh A., Arjona J., Nourbakhsh B., Waubant E., Antoine Gourraud P., Graves J.S.",2021,"Krysko et al, 2021",Biosensor vital sign detects multiple sclerosis progression,10.1002/ACN3.51187,68,49,48.3 (12.1),48.3,"RR: n=53,
PP: n=9,
SP: n=6","EDSS: 2.5 (median), range: 0.0-7.0","10.5 (median), range: 0.1-44.0","none: n=19,
IFN- 12 Glatirameracetat: n=4,
Dimethylfumarat: n=12,
Fingolimod: n=5,
Natalizumab: n=10,
Rituximab: n=6",not reported,none,none,"MYO-band
Type of sensor: accelerometer, gyroscope, others (sEMG)
Number of axes: 3
Number of wearables: 1
Position: lower arm, lower leg",laboratory,not reported,,yes,yes,yes,yes,applies partially,applies partially,yes,no,yes,Lab: Dexterity/Tremor,,,,yes,significant,yes,significant,no,,yes,significant,no,,no,,yes,some significant,no,,no,,
"Shah V.V., McNames J., Harker G., Curtze C., Carlson-Kuhta P., Spain R.I., El-Gohary M., Mancini M., Horak F.B.",2021,"Shah et al, 2021",Does gait bout definition influence the ability to discriminate gait quality between people with and without multiple sclerosis during daily life?,10.1016/J.GAITPOST.2020.11.024,15,not reported,49 (10.25),49,RR: n=15,inclusion criteria: EDSS<=6.0,not reported,not reported,not reported,healthy,"healthy 
n=16 (female ratio not reported)
age: 44.7 (10.7)","APDM instrumented socks prototype
Type of sensor: accelerometer, gyroscope
Number of axes: 3
Number of wearables: 2
Position: foot

APDM Opal IMU
Type of sensor: accelerometer, gyroscope, magnetometer
Number of axes: 3
Number of wearables: 1
Position: lower back",real-world,7 days,,yes,yes,applies partially,applies partially,yes,applies partially,applies partially,no,yes,RW: Gait,,,,no,,no,,yes,significance not tested,no,,no,,no,,no,,no,,no,,
"Abonie U.S., Hettinga F.J.",2021,"Abonie et al, 2021",Effect of a tailored activity pacing intervention on fatigue and physical activity behaviours in adults with multiple sclerosis,10.3390/IJERPH18010017,11,3,57.9 (8.0),57.9,"RR: n=6,
PP: n=1,
SP: n=4",PDDS: 2.0 [2.0],12 [24],not reported,not reported,MS patients,"MS patients (no tailored information group)
n=10 (30% female)
age: 60.9 (9.5)
Type: RR: n=4, PP: n=1, SP: n=5
Severity: PDDS: 3.5 [2.0]
Disease duration: 9.5 [19.5]","ActiGraph GT3X+
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 1
Position: waist",real-world,2 weeks,,yes,yes,yes,yes,yes,applies partially,yes,no,yes,RW: Physical activity,,,,no,,no,,no,,yes,some significant,no,,no,,yes,non-significant,yes,significant,no,,
"Teufl, S; Preston, J; van Wijck, F; Stansfield, B",2021,"Teufl et al, 2021",Quantifying upper limb tremor in people with multiple sclerosis using Fast Fourier Transform based analysis of wrist accelerometer signals,10.1177/2055668320966955,5,3,57.6 (15.3),57.6,SP: n=5,not reported,13.5 (3.1),not reported,not reported,healthy,"healthy 
n=10 (50% female)
age: 42.4 (10.9)","Axivity AX3
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 1
Position: wrist",laboratory,not reported,,yes,yes,yes,applies partially,yes,yes,applies partially,no,yes,Lab: Dexterity/Tremor,,,,no,,no,,yes,significance not tested,no,,no,,no,,no,,no,,no,,
"Hsieh K.L., Sosnoff J.J.",2021,"Hsieh et al, 2021",Smartphone accelerometry to assess postural control in individuals with multiple sclerosis,10.1016/J.GAITPOST.2020.11.011,12,9,62.1 (8.1),62.1,"RR: n=7,
PP: n=1, 
SP: n=4",EDSS: 6 [5.3-6.4],18.6 (10.1),not reported,not reported,MS patients,"MS patients (non-assisted device users)
n=15 (87% female)
age: 46.5 (12.2)
Type: RR: n=14, not reported: n=1
Severity: EDSS: 2.5 [2.5-3.5]
Disease duration: 12.9 (11.6)","Samsung Galaxy S6 (smartphone)
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 1
Position: sternum

APDM Opal IMU
Type of sensor: accelerometer, gyroscope, magnetometer
Number of axes: 3
Number of wearables: 1
Position: attached to smartphone",laboratory,not reported,,yes,yes,yes,yes,yes,applies partially,yes,no,yes,Lab: Balance,,,,no,,yes,some significant,no,,yes,significant,no,,no,,no,,no,,no,,
